Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,target,tenure_ratio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
26,1357,25,3,1,2293,1,12,1,2,1,0,0,1,1,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
27,994,8,3,4,8726,1,15,9,0,9,8,1,7,0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
30,721,1,2,3,4011,1,23,12,2,12,8,3,7,0,1.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41,1360,12,3,2,19545,1,12,23,0,22,15,15,8,1,0.9565217391304348,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
34,1065,23,4,2,4568,0,20,10,2,9,5,8,7,0,0.9,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
37,408,19,2,2,3022,4,21,8,1,1,0,0,0,0,0.125,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
46,1211,5,4,1,5772,4,21,14,4,9,6,0,8,0,0.6428571428571429,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
35,1229,8,1,4,2269,1,19,1,2,1,0,0,1,0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
48,626,1,2,1,5381,9,13,23,2,1,0,0,0,1,0.043478260869565216,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
28,1434,5,4,3,3441,1,13,2,3,2,2,2,2,1,1.0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
44,1488,1,5,2,5454,5,21,9,2,4,3,1,3,0,0.4444444444444444,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,1097,11,2,3,9884,2,13,10,3,4,0,2,3,0,0.4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
26,1443,23,3,3,4157,7,19,5,2,2,2,0,0,0,0.4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
33,515,1,2,1,13458,1,12,15,1,15,14,8,12,0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,853,18,5,2,9069,1,22,9,3,9,8,1,8,0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
35,1142,23,4,3,4014,3,15,4,3,2,2,2,2,0,0.5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
31,655,7,4,4,5915,3,22,10,3,7,7,1,7,0,0.7,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
37,1115,1,4,1,5993,1,18,7,2,7,5,0,7,0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
32,427,1,3,1,6162,1,22,9,3,9,8,7,8,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
38,653,29,5,4,2406,1,11,10,2,10,3,9,9,0,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50,989,7,2,2,18740,5,12,29,2,27,3,13,8,0,0.9310344827586207,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
59,1435,25,3,1,7637,7,11,28,3,21,16,7,9,0,0.75,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,1223,8,3,3,10096,1,13,17,2,17,14,12,8,0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,836,8,3,4,14756,2,14,21,2,5,0,0,2,0,0.23809523809523808,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,1195,11,3,2,6499,1,13,6,3,6,5,0,3,0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
45,1339,7,3,2,9724,2,17,25,2,1,0,0,0,0,0.04,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,664,1,3,2,2194,4,13,5,2,3,2,1,2,0,0.6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
36,318,9,3,4,3388,0,17,2,0,1,0,0,0,1,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
59,1225,1,1,1,5473,7,11,20,2,4,3,1,3,0,0.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,1328,2,3,3,2703,0,23,6,3,5,4,0,4,0,0.8333333333333334,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
31,1082,1,4,3,2501,1,17,1,4,1,1,1,0,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
32,548,1,3,2,6220,1,17,10,3,10,4,0,9,0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
36,132,6,3,2,3038,3,12,5,3,1,0,0,0,0,0.2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,746,8,4,3,4424,1,23,11,2,11,7,1,8,0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,776,1,4,3,4312,0,14,16,2,15,13,2,8,0,0.9375,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
45,193,6,4,4,13245,4,14,17,3,0,0,0,0,0,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
37,397,7,4,1,13664,4,13,16,3,5,2,0,2,0,0.3125,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,945,5,2,2,5021,8,22,16,2,4,2,0,2,0,0.25,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
30,852,1,1,4,5126,1,12,10,1,10,8,3,0,0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35,1214,1,3,2,2859,1,18,6,3,6,4,0,4,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
55,111,1,2,1,10239,3,14,24,4,1,0,1,0,0,0.041666666666666664,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,573,6,3,2,5329,7,12,17,3,13,11,1,9,0,0.7647058823529411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,1153,1,2,1,4325,1,15,5,2,5,2,1,3,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
56,1400,7,3,4,7260,4,11,37,3,6,4,0,2,0,0.16216216216216217,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23,541,2,1,3,2322,3,13,3,3,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
51,432,9,4,4,2075,3,23,10,4,4,2,0,3,0,0.4,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
30,288,2,3,3,4152,1,19,11,3,11,10,10,8,0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,669,9,2,3,9619,1,16,9,3,9,8,4,7,1,1.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40,530,1,4,3,13503,1,22,22,3,22,3,11,11,0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51,632,21,4,3,5441,0,22,11,2,10,7,1,0,0,0.9090909090909091,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
30,1334,4,2,3,5209,1,12,11,4,11,8,2,7,0,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,638,1,3,3,10673,2,13,21,5,10,9,9,5,0,0.47619047619047616,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,1093,6,4,2,5010,1,16,12,0,11,8,5,7,0,0.9166666666666666,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
54,1217,2,4,1,13549,9,12,16,5,4,3,0,3,0,0.25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
24,1353,3,2,1,4999,0,21,4,2,3,2,0,2,0,0.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
28,120,4,3,2,4221,1,15,5,3,5,4,0,4,0,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
58,682,10,4,4,13872,0,13,38,1,37,10,1,8,0,0.9736842105263158,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
44,489,23,3,2,2042,4,12,17,3,3,2,1,2,0,0.17647058823529413,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
37,807,6,4,3,2073,4,22,7,3,3,2,0,2,1,0.42857142857142855,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
32,827,1,1,4,2956,1,13,1,2,1,0,0,0,0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
20,871,6,3,4,2926,1,18,1,5,1,0,1,0,1,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
34,665,6,4,1,4809,1,14,16,3,16,13,2,10,0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1040,2,2,3,5163,5,14,17,2,1,0,0,0,0,0.058823529411764705,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1420,2,4,3,18844,9,21,30,3,3,2,2,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
50,1115,1,3,1,18172,3,19,28,1,8,3,0,7,0,0.2857142857142857,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
25,240,5,3,3,5744,1,11,6,1,6,4,0,3,1,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
25,1280,7,1,4,2889,1,11,2,2,2,2,2,1,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
22,534,15,3,2,2871,1,15,1,5,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,1456,1,4,1,7484,3,20,23,1,13,12,12,8,0,0.5652173913043478,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,658,7,3,1,6074,1,24,9,3,9,7,0,6,1,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
54,142,26,3,4,17328,2,12,23,3,5,3,4,4,0,0.21739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
24,1127,18,1,2,2774,0,12,6,2,5,3,1,2,0,0.8333333333333334,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
34,1031,6,4,3,4505,6,15,12,3,1,0,0,0,0,0.08333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,1189,3,3,3,7428,2,12,12,3,5,3,1,3,0,0.4166666666666667,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
34,1354,5,3,3,11631,2,12,14,6,11,10,5,8,0,0.7857142857142857,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,1467,11,2,2,9738,0,14,10,6,9,7,2,8,0,0.9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
36,922,3,2,1,2835,5,22,7,2,1,0,0,0,0,0.14285714285714285,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,394,26,2,3,16959,1,12,25,3,25,12,4,12,0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
30,1312,23,3,1,2613,1,25,10,2,10,7,0,9,0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,750,22,2,3,6146,0,13,8,2,7,7,0,7,0,0.875,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
56,441,14,4,2,4963,9,18,7,2,5,4,4,3,1,0.7142857142857143,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
51,684,6,3,1,19537,7,13,23,5,20,18,15,15,0,0.8695652173913043,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
31,249,6,4,2,6172,4,18,12,3,7,7,7,7,1,0.5833333333333334,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
26,841,6,3,3,2368,1,19,5,3,5,4,4,3,0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
58,147,23,4,4,10312,1,12,40,3,40,10,15,6,1,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,528,22,1,4,1675,1,19,0,2,0,0,0,0,1,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
22,594,2,1,3,2523,0,14,3,2,2,1,2,1,0,0.6666666666666666,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
49,470,20,4,3,6567,1,14,16,2,15,11,5,11,0,0.9375,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
43,957,28,3,2,4739,4,12,18,2,3,2,1,2,0,0.16666666666666666,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,809,12,3,3,9208,4,11,16,3,2,2,2,1,0,0.125,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,542,20,3,2,4559,3,11,4,2,2,2,2,2,1,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41,802,9,1,3,8189,3,13,12,2,9,7,0,7,0,0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,1355,25,1,3,2942,1,23,8,3,8,7,5,7,0,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,216,6,2,2,4941,6,20,7,0,3,2,0,1,0,0.42857142857142855,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
51,1150,8,4,1,10650,2,15,18,2,4,2,0,3,1,0.2222222222222222,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
39,1329,4,4,4,5902,4,14,17,1,15,11,5,9,0,0.8823529411764706,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25,959,28,3,1,8639,2,18,6,3,2,2,2,2,0,0.3333333333333333,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
30,1240,9,3,3,6347,0,19,12,2,11,9,4,7,0,0.9166666666666666,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
32,1033,9,3,1,4200,7,22,10,2,5,4,0,4,1,0.5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,1316,29,3,3,3452,5,13,9,2,6,5,0,3,0,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
38,364,3,5,4,4317,3,20,19,2,3,2,2,2,0,0.15789473684210525,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
30,438,18,3,1,2632,1,14,5,4,5,4,0,4,0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,689,9,2,4,4668,0,17,9,2,8,7,0,7,0,0.8888888888888888,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30,201,5,3,4,3204,5,14,8,3,3,2,2,2,0,0.375,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,1427,2,1,2,2720,0,13,6,3,5,3,1,2,0,0.8333333333333334,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
41,857,10,3,4,17181,4,13,21,2,7,6,7,7,0,0.3333333333333333,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
41,933,9,4,3,2238,2,21,7,2,5,0,1,4,0,0.7142857142857143,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
19,1181,3,1,2,1483,1,14,1,3,1,0,0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40,1395,26,3,2,5605,1,11,20,2,20,7,2,13,0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,662,1,5,3,7295,1,13,10,3,10,8,0,6,0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
53,1436,6,2,2,2306,2,20,13,3,7,7,4,5,0,0.5384615384615384,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
45,194,9,3,2,2348,8,18,20,2,17,9,0,15,0,0.85,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
32,967,8,3,2,8998,1,14,9,2,9,8,3,7,0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,1496,1,1,4,4319,1,13,10,1,10,7,0,9,0,1.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
51,1169,7,4,2,6132,2,17,10,2,1,0,0,0,0,0.1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
58,1145,9,3,2,3346,4,20,9,3,1,0,0,0,0,0.1111111111111111,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
40,630,4,4,3,10855,7,11,15,2,12,11,2,11,0,0.8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
34,303,2,4,3,2231,6,18,6,3,4,3,1,2,0,0.6666666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22,1256,19,1,3,2323,1,24,2,6,2,2,2,2,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
27,691,9,3,4,2024,6,18,6,1,2,2,2,2,0,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,440,21,3,3,2713,1,11,5,2,5,2,0,2,0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
57,334,24,2,3,9439,3,16,12,2,5,3,1,4,0,0.4166666666666667,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27,1450,3,3,3,2566,1,15,1,2,1,1,0,1,0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
50,1452,11,3,3,19926,3,15,21,5,5,4,4,4,0,0.23809523809523808,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
